text,label
Government launches new education reform bill,real
Parliament approves national healthcare scheme,real
Supreme Court announces new judicial guidelines,real
New metro rail project inaugurated in Chennai,real
Finance minister presents annual budget in parliament,real
India signs climate agreement with global leaders,real
State government increases funding for public schools,real
New vaccination drive launched across the country,real
Reserve Bank adjusts interest rates to control inflation,real
Scientists discover new species in Western Ghats,real
Railway ministry introduces new high-speed trains,real
Election Commission announces polling dates,real
New AI research center opened in Bangalore,real
Government introduces digital payment awareness program,real
ISRO successfully launches communication satellite,real
New startup policy approved to support entrepreneurs,real
Public transport fares reduced in major cities,real
Police department adopts new cybercrime tracking system,real
Health ministry issues advisory on seasonal flu,real
National highway expansion project begins,real
Aliens spotted attending meeting in Delhi, fake
Drinking only coffee cures all diseases,fake
Scientists confirm earth is flat,fake
Celebrity reveals secret time travel machine,fake
New pill allows humans to live 300 years,fake
Government plans to ban gravity from next year,fake
Man claims to survive without food for 10 years,fake
Secret portal discovered under Taj Mahal,fake
Magic stone found that grants unlimited wealth,fake
NASA confirms sun will not rise tomorrow,fake
Invisible city found floating above Mumbai,fake
Politician admits being robot from future,fake
New app can read minds through WiFi,fake
Doctor says eating chocolate replaces exercise,fake
Man builds working spaceship in backyard,fake
Scientists say sleeping 1 hour is enough for life,fake
Breaking: dinosaurs cloned in secret lab,fake
Time traveler warns about zombie invasion,fake
Alien language taught in local school,fake
New law requires citizens to smile daily,fake
Central government launches rural employment scheme,real
New environmental protection law passed,real
India hosts international trade summit,real
New public university inaugurated in Hyderabad,real
Digital literacy campaign expanded nationwide,real
New agricultural subsidy program introduced,real
Railway safety standards upgraded,real
Government approves renewable energy investment,real
New sports complex opened in Mumbai,real
Health insurance scheme expanded to rural areas,real
Supreme Court rules on data privacy case,real
Police launch anti-corruption investigation,real
New electric bus fleet introduced,real
State announces drought relief measures,real
New medical college approved by authorities,real
ISRO announces next lunar mission,real
New water conservation policy implemented,real
Government launches women empowerment program,real
National census data released,real
India signs bilateral defense agreement,real
Scientists discover plant that grows on Mars,fake
Breaking news: moon made of cheese confirmed,fake
Secret society controls weather patterns,fake
New diet guarantees instant six-pack in one day,fake
Man claims to teleport between cities,fake
Alien spaceship parked near parliament,fake
New phone app can predict death date,fake
Doctors warn that water is dangerous,fake
Hidden treasure found under Red Fort by astrologer,fake
Government replaces teachers with robots overnight,fake
Magical tree produces gold coins,fake
Scientists prove humans can fly naturally,fake
New virus spreads through television signals,fake
Celebrity adopts dragon as pet,fake
City declares Monday as optional reality day,fake
Breaking: animals start talking in Hindi,fake
Invisible man wins national election,fake
New study says homework reduces lifespan,fake
Government to introduce flying cars tomorrow,fake
Ancient pyramid discovered in Chennai IT park,fake
Prime Minister addresses nation on economic growth,real
New digital banking rules announced,real
India reports increase in renewable energy usage,real
Government introduces traffic safety reforms,real
New skill development program launched,real
Public health awareness campaign begins,real
India signs trade agreement with neighboring country,real
New railway station inaugurated,real
Education ministry updates curriculum guidelines,real
Police implement AI-based surveillance system,real
State government reduces fuel tax,real
New public hospital opened in rural district,real
Environmental activists hold climate awareness rally,real
New smart city project announced,real
Central bank releases financial stability report,real
Government launches startup funding initiative,real
New waste management policy implemented,real
India hosts international science conference,real
National sports policy updated,real
Health ministry launches mental health support helpline,real
Aliens invade parliament building,fake
Alien spaceship lands in Mumbai,fake
Government signs agreement with aliens,fake
Scientists confirm alien life in Delhi,fake
Alien leader meets prime minister,fake
